File Name,Title,Location,Category,Category2,Description,Tags,Year,Duration,Services
6,Papillon,Bodrum,Gastronomi,Commercial,"Papillon, Bodrum mutfağının zengin ot çeşitlerini modern
yorumlarla sunarken, biz de bu tutkuyu samimi bir hikâye
kurgusuyla anlattık. Ege’nin kültürü, lezzeti ve misafirperverliği tek bir videoda buluştu.","Aegean Culture, Herbal Cuisine, Storytelling, Bodrum Gastronomy",2024,23s,"Video Production, Interview Setup,
Color Grading, Brand Storytelling"
7,Cliff Beach,Bodrum,Gastronomi,Commercial,"Feel the Aegean Soul mottosundan ilham alarak,
Cliff Beach Club’ın denizle iç içe geçen enerjisini
ve Ege’ye özgü ruhunu gökyüzünden yakaladık.
Deniz kokusu, gün batımı ve eğlence bu karelerde hayat buldu.","Drone Shots, Aegean Spirit,
Beach Club Life, Bodrum Coast",2024,20s,"Drone Footage,
Aerial Videography,
Color Grading"
8,Dieci,Bodrum,Gastronomi,Commercial,"Dieci mutfağının kalbinde, her dokunuşun ardındaki
özen ve İtalyan tutkusu... Şeflerin elinden çıkan
tabaklarla tutku, lezzet ve hikâye bir araya geldi.","Italian Restaurant, Culinary Storytelling,
Chef Life, Fine Dining, Gourmet Experience",2025,44s,"Video Production, Interview Setup,
Close-Up Shots, Color Grading"
39,Dieci,Bodrum,Gastronomi,Commercial,"""Dieci mutfağının kalbinde, her dokunuşun ardındaki
özen ve İtalyan tutkusu... Şeflerin elinden çıkan
tabaklarla tutku, lezzet ve hikâye bir araya geldi.""","Italian Restaurant, Culinary Storytelling,
Chef Life, Fine Dining, Gourmet Experience",2025,,
40,Dieci,Bodrum,Gastronomi,Commercial,"""Dieci mutfağının kalbinde, her dokunuşun ardındaki
özen ve İtalyan tutkusu... Şeflerin elinden çıkan
tabaklarla tutku, lezzet ve hikâye bir araya geldi.""","Italian Restaurant, Culinary Storytelling,
Chef Life, Fine Dining, Gourmet Experience",2025,,
42,Cliff,Bodrum,Gastronomi,Commercial,"""Feel the Aegean Soul mottosundan ilham alarak,
Cliff Beach Club’ın denizle iç içe geçen enerjisini
ve Ege’ye özgü ruhunu gökyüzünden yakaladık.
Deniz kokusu, gün batımı ve eğlence bu karelerde hayat buldu.""",,,,
10,Inspera Bodrum,Bodrum,Interview,Commercial,Sanatın insan yüzündeki yansımaları… Serginin ruhunu yansıtan detaylarla hazırlanan bir tanıtım.,"Inspera Art, Portrait Exhibition, Contemporary Art, Art Film",2024,8s,"Video Production, Cinematic Storytelling, Post Production, Color Grading"
21,Inspera Bodrum,Bodrum ,Interview,Events,"Bodrum'un kültürel ve sanatsal yaşamına öncülük
eden Inspera Bodrum için hazırlanan Book Store
serisinde, her röportajı sıcak ve samimi bir anlatımla
şekillendirdik. İzleyiciyi kitaplarla dolu bir dünyaya davet
ederek kültürel bir bağ kurduk.","Inspera Bodrum, Book Recommendations,
Storytelling, Cultural Video",2024,75s,"Creative Direction, Filming, Editing,
Interview Storytelling"
22,Inspera Bodrum,Bodrum,Interview,Personal Branding,"Book Store serisi için yapılan röportajlarla her sayfa ve öneriyi küçük bir hikayeye dönüştürdük, kitapların ruhunu izleyiciye hissettirdik.","Inspera Bodrum, Book Recommendations,
Storytelling, Cultural Video",2024,108s,"Creative Direction, Filming, Editing,
Interview Storytelling"
30,Inspera Bodrum,Bodrum,Interview,Events,"Sanatın deneyim ve buluşma noktası olarak Inspera
Bodrum'da nasıl yaşandığını öne çıkardık. İlhamın sadece
bir başlangıç olduğunu, yaratıcılığın her köşede
hissedildiğini ve izleyiciye dokunan anları yansıttık.","Inspera Bodrum, Kültür, Sanat,
Promotional Video",2024,62s,"Filming, Editing, Storytelling,
Creative Direction"
32,İnanç Ayar,İstanbul,Interview,Events,"İnanç Ayar’ın Girişimcilik Okulu’nun duyurusunu yaptığı video için mesajın net ve etkileyici şekilde aktarılmasına odaklandık. Amacımız, izleyicilerin İnanç Ayar'ın heyecanını ve Girişimcilik Okulu'nun sunduklarını hissedebilmesini sağlamaktı.","Video Prodüksiyon, Kurumsal Video, Eğitim",2025,74s,"Screenplay Editing, Shooting Management, Filming, Editing, "
33,Emre Onar,İstanbul,Interview,Personal Branding,"Emre Onar’ın tutkuyla bağlı olduğu alanlarda uzman isimlerle yaptığı ilham verici röportajlarını konu alan Merak serisinde konukların enerjisi, samimi anları ve detaylı hikayeleri ön plana çıkarıldı. İzleyici, her bölümde bilgi ve ilhamı bir arada deneyimliyor.","Interview Series, Passion Stories, Creative Experts",2024,42s,"Video Editing, Post Production, Sound Design, Color Grading"
34,Inspera Bodrum,Bodrum,Interview,Commercial,"Running Room sergisinin video kurgusunda, Feza Güvenal’in tuvalleri ve Vincenzo Savastano’nun heykelleri detaylı yakın çekimlerle öne çıkarıldı. Video, serginin mekân atmosferini ve sanat eserlerinin dokusunu vurgulayan akıcı bir kurgu ile hazırlandı.","Running Room, Inspera Art Space, Contemporary Art",2024,34s,"Video Editing, Post Production, Sound Design, Color Grading"
35,Pınar Deniz,Bodrum,Interview,Personal Branding,"Kendi yaşam deneyimlerinizi anlamak, duygusal farkındalığınızı artırmak ve zihinsel sağlığınızı güçlendirmek için Klinik Psikolog Pınar Deniz, psikolojiye dair merak edilen tüm konuları kendi anlatımıyla paylaşıyor.","Psikoloji, Mental Health, Klinik Psikolog,
Self Awareness",2025,58s,"Filming, Editing, Storytelling,
Creative Direction"
36,Pınar Deniz,Bodrum,Interview,Personal Branding,"Kendi yaşam deneyimlerinizi anlamak, duygusal farkındalığınızı artırmak ve zihinsel sağlığınızı güçlendirmek için Klinik Psikolog Pınar Deniz, psikolojiye dair merak edilen tüm konuları kendi anlatımıyla paylaşıyor.",,,,
37,Inspera,Bodrum,Interview,Personal Branding,,,,,
3,Rakle,İstanbul,Commercial,Commercial,"Cam işçiliğini sanata dönüştüren Rakle için,
rafine tasarımlarını 3D görselleştirme ile zamansız
bir hikâyeye dönüştürdük. Rakle’nin cam üzerindeki
yaratıcılığı, ekranın her köşesinde parladı.","3D Visuals, Modern Design,
Glassware, Creative Storytelling",2022,30s,"3D Animation, Motion Graphics,
Color Grading, Visual Storytelling"
11,Very Chic,Bodrum,Commercial,Commercial,"Bodrum’un hareketli ritmiyle uyumlu, plajdan havuza,
gün ışığından gece ışıklarına kadar süren bir tatil hikayesi.","Luxury Hotel, All Inclusive, Pool Party,
DJ Performance",2024,59s,"Video Production, Drone Footage,
Sound Design"
18,Rakle,İstanbul,Commercial,Personal Branding,Rakle'nin Yeni Yıl Koleksiyonu ile yılbaşı hediyelerinin büyüsünü videoya taşıdık; her sahnede detayları öne çıkararak hediyelerin samimi ve neşeli yanını izleyiciye yansıttık.,"Holiday Gifts, Creative Video,
Storytelling",2024,25s,"Storytelling, Filming,
Editing, Creative Direction"
19,Rakle,İstanbul,Commercial,Personal Branding,"Rakle’nin yılbaşı hediyelerini merkeze alarak, sahnelere sıcak ve davetkar bir hikaye dokusu ekledik. İzleyiciye, hediyelerin sadece objeler değil, anılar ve duygular taşıdığını hissettirmeyi amaçladık.","Holiday Gifts, Creative Video,
Storytelling",2024,36s,"Storytelling, Filming,
Editing, Creative Direction"
20,Rakle,İstanbul,Commercial,Personal Branding,"Yılbaşı Hikayeleri serisinde Rakle'nin Yeni Yıl Koleksiyonuyla küçük, samimi hikayeler anlattık. İzleyiciye, hediyelerin sadece objeler değil, anılar ve duygular taşıdığını hissettirmeyi amaçladık.","Holiday Gifts, Creative Video,
Storytelling",2024,28s,"Storytelling, Filming,
Editing, Creative Direction"
23,Rakle,İstanbul,Commercial,Personal Branding,"Sağlıklı içeceklerin tariflerini ve yapım süreçlerini
diyetisyenle birlikte videoya taşıdık. Her sahnede
izleyiciye lezzetli ve pratik fikirler sunarken, samimi
ve öğretici bir anlatım yaratmayı hedefledik.","Healthy Drinks, Social Media Video,
Creative Content",2024,58s,"Creative Direction, Filming,
Editing, Storytelling"
24,Rakle,İstanbul,Commercial,Personal Branding,"Rakle'nin Sağlıklı İçecekler Serisi'nde, bir diyetisyen eşliğinde hazırlanan sağlıklı içecekleri öne çıkardık. Malzemelerden tariflere, her adımı samimi bir şekilde aktardık ve izleyiciyi hem bilgilendiren hem de keyifli bir deneyim sunan bir yolculuğa çıkardık.","Healthy Drinks, Social Media Video,
Creative Content",2024,43s,"Creative Direction, Filming,
Editing, Storytelling"
25,Rakle,İstanbul,Commercial,Personal Branding,"Rakle'nin Sağlıklı İçecekler Serisi'nde, diyetisyen eşliğinde hazırlanan sağlıklı içecekleri videoya taşıyarak izleyiciye hem ilham verdik hem de uygulaması kolay tarifler sunduk. Her sahneyi samimi bir anlatımla hikayeleştirdik.","Healthy Drinks, Social Media Video,
Creative Content",2024,74s,"Creative Direction, Filming,
Editing, Storytelling"
26,Rakle,İstanbul,Commercial,Personal Branding,"Rakle'nin Sağlıklı İçecekler Serisi'nde, diyetisyen eşliğinde hazırlanan sağlıklı içecekleri videoya taşıyarak izleyiciye hem ilham verdik hem de uygulaması kolay tarifler sunduk. Her sahneyi samimi bir anlatımla hikayeleştirdik.","Healthy Drinks, Social Media Video,
Creative Content",2024,50s,"Creative Direction, Filming,
Editing, Storytelling"
27,"Hapimag Sea
Garden Resort",Bodrum,Commercial,Commercial,"Ege Denizi’nin berrak sularında serinleme, lüks odalarda konfor ve eğlenceli deneyimler... Her detayda izleyiciye Hapimag Sea Garden Resort'ta tatilin keyfini hissettirmeyi hedefledik.","Luxury Resort, Storytelling Video,
Resort Life, Promotional Video",2024,81s,"Filming, Creative Direction,
Editing, Visual Storytelling"
28,Intiba,Bodrum,Commercial,Commercial,"Video prodüksiyon bizim için yalnızca bir çekim süreci değil; markaların hikâyesini en doğru duyguyla aktarabilmek için kurduğumuz bir yolculuk. Farklı sektörlerden markaların dünyasına giriyor, her projeye onların ruhuna uygun özgün bir bakış açısı katıyoruz.","Video Production, Storytelling, Brand Identity, Creative Filmmaking",2025,43s,"Video Production, Drone Footage, Color Grading, Post Production, Sound Design"
29,Rapsodi Dekor,İstanbul,Commercial,Commercial,"Üç nesildir aktarılan bilgi ve deneyimin her aşamada
nasıl hayat bulduğunu, Rapsodi Dekor fabrikasının
içinden ve üretim sürecinden samimi karelerle aktardık.
İşçiliğin detaylarını ve ustaların dokunuşlarını doğal
bir anlatımla bir araya getirdik. ","Cam İşçiliği, Promotional Video",2025,46s,"Filming, Editing, Storytelling,
Creative Direction"
31,G2O,Bodrum,Commercial,Commercial,"G2o Turkey Travel & Events’in Bodrum’daki özel etkinliği, eşsiz mekan seçimi ve özenle planlanmış deneyimleriyle öne çıkıyor. Çekimlerimizde etkinliğin enerjisini, katılımcıların keyfini ve Bodrum’un büyüleyici atmosferini yakaladık. Video kurgusunda ise her anı ritmik, akıcı ve markanın profesyonel dokusunu yansıtacak şekilde bir araya getirdik.","Event Video, Corporate Event, Event Coverage",2024,144s,"Video Production, Post Production, Drone Footage, Event Coverage, Color Grading"
